subjectCode,courseNumber,distDesg,courseTitle
ACCT,270,[],Foundations of Accounting and Valuation
USAF,102,[],Foundation of the U.S. Air Force
USAF,302,[],Air Force Leadership Studies
USAF,402,[],National Security Affairs and Preparation for Active Duty
AFAM,185,"['YCHU', 'YXWR']",The Harlem Renaissance
AFAM,206,['YCHU'],Literature of the Black South
AFAM,379,['YCHU'],"Colonial Narrative, Postcolonial Counternarrative"
AFAM,406,"['YCHU', 'YCWR']",Autobiography in America
AFAM,410,"['YCHU', 'YCSO', 'YCWR']",Interdisciplinary Approaches to African American Studies
AFAM,472,[],Independent Study: African American Studies
AFAM,469,['YCSO'],Urban Inequalities and Educational Inequality
AFAM,212,['YCHU'],African American Literature in the Archives
AFAM,256,['YCHU'],The Migrant Image
AFAM,172,['YCHU'],"The Civil War and Reconstruction Era, 1845–1877"
AFAM,353,['YCHU'],Black British Art and Culture
AFAM,198,['YCHU'],"Propaganda, Ideology, and Democracy"
AFAM,186,"['YCSO', 'YXWR']",Contesting Injustice
AFAM,195,['YCSO'],"Gandhi, King, and the Politics of Nonviolence"
AFAM,358,['YCSO'],Ethnography of Policing and Race
AFAM,491,[],The Senior Essay
AFAM,413,['YCHU'],Samuel Delany and His Worlds
AFAM,237,['YCHU'],Contemporary Black American Women Poets Experiments in the Lyric
AFAM,476,"['YCHU', 'YCSO']",Race & Caste
AFAM,447,"['YCHU', 'YCWR']",New Directions in Caribbean History
AFAM,220,['YCHU'],Archive Aesthetics and Community Storytelling
AFAM,448,['YCSO'],"Race, Gender, and Surveillance"
AFAM,299,['YCHU'],Black Freedom Struggles: Emancipation to the Present
AFAM,401,['YCHU'],Introduction to Documentary Studies
AFAM,393,['YCSO'],Ethnographic Writing and Its Discontents
AFAM,330,"['YCHU', 'YCWR', 'YENW']",Writing Trauma
AFAM,385,['YCHU'],"Plantation, Prison, and Ghetto in the United States"
AFAM,275,['YCHU'],The Afterlives of Slavery in the United States
AFAM,348,['YCHU'],"James Baldwin 1964-1987: Transnationalism, Exile & Intimacy"
AFAM,224,['YCSO'],"Athletes, Activism, Public Policy, and the Media"
AFST,381,['YCSO'],Government and Politics in Africa
AFST,435,['YCHU'],West African Dance: Traditional to Contemporary
