NAME, requirements
CPSC Req,"CPSC 201; CPSC 202 MATH 244; CPSC 223, CPSC 323; CPSC 365 or 366; CPSC 490; "
CPSC BA Elec,CPSC num (where num > 300) * 4;
CPSC BS Elec,CPSC num (where num > 300) * 6;
ECON Req,ECON 115 or ECON 108;  ECON 116 or ECON 111; MATH 112 or MATH 115 or MATH 120; ECON 121 or ECON 125; ECON 122 or ECON 126; ECON 117; 
ECON Elec,ECON num (where num > 126) * 4; ECON num (where 400 < num < 492) * 2; 
AFAM Req,"AFAM 160, AFAM 162, AFAM 410, AFAM 480, AFAM 491; AFAM num (where num[skill] == HU) * 1; AFAM num (where num[skill] == SO) * 1;"
AFAM Elec,DUS num * 5;
PORT Req,PORT 130; PORT 491 or PORT 492; 
PORT Elec,PORT num (where num > 130) * 5; DUS num * 4;
EP&E Req, PHIL 175; PLSC 111 or 116; PHIL 178 or PLSC 108 or PLSC 114 or PLSC 118; ERM num (where num > 0); ECON 108 or ECON 110 or ECON 115; ECON 111 or ECON 116; ECON 117 or ECON 123 or ECON 135 or GLBL 121 or SDS 230 or SDS 238; EPE 220 or EPE 231 or EPE 295 or EPE 297 or ECON 159; EP 215 or EP 216 or EP 217; ECON 121 or ECON 125; EP 491 or EP 492 or EP 493;
EP&E Elec,DUS num * 4;
PHYS Req,"PHYS 170 or PHYS 180 or PHYS 200 or PHYS 260; PHYS 171 or PHYS 181 or PHYS 201 or PHYS 261; PHYS 205L or PHYS 165L; PHYS 206L or PHYS 166L; PHYS 301; PHYS 471, PHYS 472"
PHYS BS,"PHYS 401, PHYS 402; APHY 439 or PHYS 440; PHYS num (where num > 300) * 4;"
PHYS BSIntensive "PHYS 410; PHYS 440; PHYS 441, PHYS 430, PHYS 420; PHYS 382L; "
APHY BS, "APHY 151, PHYS 200, PHYS 201, PHYS 206L, APHY 322, APHY 439, PHYS 301, APHY 472, EENG 320, APHY 420, APHY 448, APHY 449, APHY 471;"
BENG BS, "BIOL 101, BIOL 102; CHEM 161, ENAS 194, MATH 115, MATH 120; PHYS 180, PHYS 181, PHYS 205L, PHYS 206L; BENG 249, BENG 280, BENG 350, BENG 351, BENG 352, BENG 353, BENG 355L, BENG 356L, BENG 480; BENG num (where num > 400) * 3; BENG 280, BENG 480; BENG 474 or BENG 473; "
Classics BA, "GREK 403 or LATN 390; LATN num (where num > 300) * 6; GREK num (where num > 300) * 4;"
Classics INT, "CLSS 490 or CLSS 491 or CLSS 492;"
NEURO req, "BIOL 101, BIOL 102, BIOL 103, BIOL 104; S&DS 103; NSCI 160, NCSI 320;  NSCI 229L or NSCI 258 or NSCI 260 or NSCI 270 or NSCI 321L; PHYS 170, NSCI 141,  CPSC 100 or CPSC 112; MATH 112 or 115; NSCI 340, NSCI 341, NSCI 324, NSCI 325;"
NEURO BA, "NSCI 490, NSCI 480;"
NEURO BS, "NSCI 490 and NSCI 491;"
PHIL BA, "PHIL 125, PHIL 126; PSYC 110; PHIL num (where num > 400) * 2; HUMS num (where num > 200) * 4; PHIL num (where num > 200) * 2; DRST 003, DRST 004;
CHEM req, "CHEM 252; CHEM 161, CHEM 165; CHEM 134L, CHEM 136L; MATH 115, MATH 120; PHYS 170 or PHYS 180 or PHYS 200 or PHYS 260; PHYS 171 or PHYS 181 or PHYS 201 or PHYS 261; CHEM 174, CHEM 175;"
CHEM BA, "CHEM 332 or CHEM 328; CHEM num (where num > 300) * 4; CHEM 400;"
CHEM BS, "CHEM 332 or CHEM 328; CHEM 332 or CHEM 328; CHEM 333; CHEM 330L; PHYS num (where num > 171) * 1; CHEM num (where num > 300) * 5; CHEM 490"
CPAR BS, "CPSC 100 or CPSC 112, ART 111, ART 114; ART num (where num > 100) * 2; ART num (where num > 200) * 2; ART num (where num > 400) * 1; CPSC num (where num > 200) * 3;  CPAR 491, ART 496;
LING BA, "LING 232, LING 253, LING 490; LING num (where num > 200) * 1; LING num (where num > 100) * 7; LING 491;"
MATH req, "MATH 115, MATH 225 or MATH 226; MATH 255 or MATH 256; MATH 302 or MATH 120; MATH (where num > 222) * 7; MATH 480 or MATH 481;"
MATH BS, "MATH (where num > 222) * 2;"
MUSI BA, "MUSI (where num > 200) * 13;"
